hospital_name,address,negeri,latitude,longitude
Hospital Banting,"Jalan Sultan Alam Shah, 42700 Kuala Langat, Selangor",Selangor,2.8033665,101.4924677
Hospital Cyberjaya,"Persiaran Sepang, Cyber 11, 63000 Sepang, Selangor",Selangor,2.9201263,101.6310859
Hospital Kajang,"Jalan Semenyih, 43000 Hulu Langat, Selangor",Selangor,2.9942153,101.7928941
Hospital Kuala Kubu Bharu,"Jalan Hospital, 44000 Hulu Selangor, Selangor",Selangor,3.5651429,101.6526963
Hospital Orang Asli Gombak,"KM 24 Jalan Pahang Lama, 53100 Gombak, Selangor",Selangor,3.2931561,101.7308726
Hospital Selayang,"Lebuhraya Selayang-Kepong, 68100 Gombak, Selangor",Selangor,3.2412684,101.6480514
Hospital Serdang,"Jalan Puchong, 43000 Sepang, Selangor",Selangor,2.9768538,101.7207653
Hospital Shah Alam,"Persiaran Kayangan, Seksyen 7, 40000 Petaling, Selangor",Selangor,3.0727477,101.491656
Hospital Sungai Buloh,"Jalan Hospital, 47000 Gombak, Selangor",Selangor,3.2189944,101.5853037
Hospital Tanjung Karang,"Tanjung Karang, 45500 Kuala Selangor, Selangor",Selangor,3.4261475,101.1796417
Hospital Tengku Ampuan Jemaah,"Sabak Bernam, 45200 Sabak Bernam, Selangor",Selangor,3.7632801,100.9844791
Hospital Tengku Ampuan Rahimah,"Jalan Langat, 41200 Klang, Selangor",Selangor,3.0269321,101.4423939
Hospital Besut,"Jalan Pasir Akar, Jerteh, 22000 Besut, Terengganu",Terengganu,5.7287265,102.493395
Hospital Dungun,"Hospital Dungun, 23000 Dungun, Terengganu",Terengganu,4.7522723,103.4142476
Hospital Hulu Terengganu,"Batu 23, Jalan Kuala Berang, 21700 Hulu Terengganu, Terengganu",Terengganu,5.0755015,103.0442831
Hospital Kemaman,"Jalan Da' Omar, Cukai, 24000 Kemaman, Terengganu",Terengganu,4.231826,103.4200921
Hospital Setiu,"Bandar Permaisuri, 22100 Setiu, Terengganu",Terengganu,5.5152271,102.7691637
Hospital Sultanah Nur Zahirah,"Jalan Sultan Mahmud, 20400 Kuala Terengganu, Terengganu",Terengganu,5.326468,103.1505428
Hospital Kuala Lumpur,"Jalan Pahang, 50586 Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.171673,101.6989438
Hospital Rehabilitasi Cheras,"Jalan Yaacob Latif, Bandar Tun Razak, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,3.0907174,101.721592
Hospital Tunku Azizah (Wanita dan Kanak-Kanak),"Jalan Dr. Latif, Titiwangsa, 50586 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",WP Kuala Lumpur,,
Hospital Labuan,"Peti Surat 81006 Labuan, Wilayah Persekutuan Labuan",WP Labuan,,
Hospital Putrajaya,"Jalan P9, Presint 7, 62250 Wilayah Persekutuan Putrajaya",WP Putrajaya,2.9267886,101.6725971
